Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,November 1828,1979,,tt0079644
Drama,Movie,Albela,2001,4.0,tt0118578
Drama,Movie,Don's Plum,2003,6.0,tt0119004
Drama,Movie,Glitter,2001,9.0,tt0118589
Drama,Movie,Camarate,2001,5.0,tt0120624
Drama,Movie,Ricochet River,2001,10.0,tt0120807
Drama,Movie,The Lord of the Rings: The Fellowship of the Ring,2001,12.0,tt0120737
Drama,Movie,The Shipping News,2002,2.0,tt0120824
Drama,Movie,Driven,2001,8.0,tt0132245
Drama,Movie,Tales from the Tower,2001,3.0,tt0138856
Drama,Movie,Training Day,2002,1.0,tt0139654
Drama,Movie,Silent Partner,2001,8.0,tt0145467
Drama,Movie,My Father's Love,2010,10.0,tt0151685
Drama,Movie,L'amore probabilmente,2001,8.0,tt0152083
Drama,Movie,Enigma,2002,1.0,tt0157583
Drama,Movie,After Image,2003,5.0,tt0157007
Drama,Movie,The Demo Crew,2001,6.0,tt0159378
Drama,Movie,Behind Enemy Lines,2002,1.0,tt0159273
Drama,Movie,Final Solution,2001,11.0,tt0160275
Drama,Movie,Impostor,2002,4.0,tt0160399
Drama,Movie,The Scar,2001,2.0,tt0160816
Drama,Movie,Long Lost Love,2001,2.0,tt0160480
Drama,Movie,Ghost World,2002,2.0,tt0162346
Drama,Movie,Nirgendwo in Afrika,2003,4.0,tt0161860
Drama,Movie,Net Worth,2000,,tt0163764
Drama,Movie,Dark Water,2001,8.0,tt0163596
Drama,Movie,Along Came a Spider,2001,5.0,tt0164334
Drama,Movie,The Distinct Smell of Red,2001,10.0,tt0165713
Drama,Movie,Still Life,2001,6.0,tt0166186
Drama,Movie,Daddy and Them,2002,6.0,tt0166158
Drama,Movie,Memórias Póstumas de Brás Cubas,2001,8.0,tt0166709
Drama,Movie,Race to Space,2002,3.0,tt0167360
Drama,Movie,Lagaan: Once Upon a Time in India,2003,2.0,tt0169102
Drama,Movie,Mulholland Dr.,2002,2.0,tt0166924
Drama,Movie,Aleksis Kiven elämä,2002,1.0,tt0170517
Drama,Movie,Morgan's Ferry,2001,11.0,tt0170260
Drama,Movie,Zigs,2001,8.0,tt0173498
Drama,Movie,The Invisible Circus,2001,2.0,tt0178642
Drama,Movie,15 Minutes,2001,5.0,tt0179626
Drama,Movie,"Hemingway, the Hunter of Death",2001,1.0,tt0179844
Drama,Movie,Hard Ball,2001,9.0,tt0180734
Drama,Movie,The Proposal,2002,4.0,tt0179435
Drama,Movie,The Midnight Hour,2001,10.0,tt0179344
Drama,Movie,Odmazda,2001,6.0,tt0180894
Drama,Movie,Rubbernecking,2001,4.0,tt0181796
Drama,Movie,Éloge de l'amour,2002,5.0,tt0181912
Drama,Movie,The Caveman's Valentine,2001,9.0,tt0182000
